key,en,ru
page_title,Real Estate Dashboard,Дашборд Недвижимости
navigation_title,Navigation,Навигация
menu_apartment_info,Apartment & Realtor Info,Информация об Апартаментах и Риелторах
menu_utilities,Utilities,Коммунальные Услуги
menu_reports,Generate Reports,Генерация Отчетов
menu_communication,Client Communication,Коммуникация с Клиентами
menu_settings,System & Settings,Система и Настройки
main_title,🏢 Real Estate Business Dashboard,🏢 Дашборд Бизнеса Недвижимости
apartment_header,🕵️ Apartment & Realtor Info,🕵️ Информация об Апартаментах и Риелторах
apartment_input_label,Enter an Apartment Code:,Введите Код Апартаментов:
apartment_input_placeholder,"e.g., POL72-046","например, POL72-046"
apartment_button_get_details,Get Details,Получить Детали
apartment_actions_subheader,Actions for {ap_code},Действия для {ap_code}
apartment_button_calculate_utilities,🖩 Calculate Utilities,🖩 Рассчитать Коммунальные Услуги
apartment_button_master_report,📜 Generate Master Report,📜 Сгенерировать Основной Отчет
apartment_button_email_log,📧 View Email Log,📧 Просмотреть Журнал Email
apartment_details_subheader,Apartment Details,Детали Апартаментов
apartment_client_location,##### Client & Location,##### Клиент и Местоположение
apartment_address,**Address:**,**Адрес:**
apartment_realtor,**Realtor:**,**Риелтор:**
apartment_client_email,**Client Email:**,**Email Клиента:**
apartment_client_phone,**Client Phone:**,**Телефон Клиента:**
apartment_contract_rent,##### Contract & Rent,##### Договор и Аренда
apartment_contract_start,**Contract Start:**,**Начало Договора:**
apartment_contract_end,**Contract End:**,**Конец Договора:**
apartment_rent,**Rent:**,**Аренда:**
apartment_deposit,**Deposit:**,**Залог:**
apartment_more_details,Show More Details,Показать Больше Деталей
apartment_financials,##### Financials,##### Финансы
apartment_rent_suggestion,**Rent Suggestion:**,**Предложение по Аренде:**
apartment_last_pay,**Last Pay:**,**Последний Платеж:**
apartment_utility_pricing,##### Utility Pricing,##### Цены на Коммунальные Услуги
apartment_electricity_price,**Electricity Price:**,**Цена Электричества:**
apartment_gas_price,**Gas Price:**,**Цена Газа:**
apartment_status_notes,##### Status & Notes,##### Статус и Заметки
apartment_contract_status,**Contract Status:**,**Статус Договора:**
apartment_notes,**Notes:**,**Заметки:**
apartment_not_found,Apartment with code `{ap_code}` not found.,Апартаменты с кодом `{ap_code}` не найдены.
utilities_header,🖩 Utilities Calculator,🖩 Калькулятор Коммунальных Услуг
utilities_input_label,Enter Apartment Code:,Введите Код Апартаментов:
utilities_input_placeholder,"e.g., CLJ55-001","например, CLJ55-001"
utilities_checkbox_include_rent,Include rent in the final calculation?,Включить аренду в итоговый расчет?
utilities_button_calculate,Calculate Utilities,Рассчитать Коммунальные Услуги
reports_header,📜 Generate Reports,📜 Генерация Отчетов
reports_tab_master,Master Report,Основной Отчет
reports_tab_batch,Batch Report,Пакетный Отчет
reports_master_input_label,Enter a single Apartment Code:,Введите Один Код Апартаментов:
reports_master_input_placeholder,"e.g., POL72-046","например, POL72-046"
reports_master_button,Generate Master Report,Сгенерировать Основной Отчет
reports_batch_input_label,Apartment Codes:,Коды Апартаментов:
reports_batch_input_placeholder,"POL72-046\nCLJ55-001\n...","POL72-046\nCLJ55-001\n..."
reports_batch_button,Generate Batch Report,Сгенерировать Пакетный Отчет
communication_header,📧 Client Communication,📧 Коммуникация с Клиентами
communication_tab_find_ap,Find AP Code by Email,Найти Код AP по Email
communication_tab_find_email,Find Email by AP Code,Найти Email по Коду AP
communication_find_ap_subheader,Find an Apartment Code using the client's email address,Найти Код Апартаментов по Email Клиента
communication_find_ap_input_label,Enter Client Email:,Введите Email Клиента:
communication_find_ap_input_placeholder,"e.g., client.name@email.com","например, client.name@email.com"
